locus_tag	ftype	length_bp	gene	EC_number	COG	product
MNHNOIJP_00036	CDS	1800	gyrB_1	5.6.2.2	COG0187	DNA gyrase subunit B
MNHNOIJP_00037	CDS	753				hypothetical protein
MNHNOIJP_00038	CDS	1518				hypothetical protein
MNHNOIJP_00039	CDS	1503				hypothetical protein
MNHNOIJP_00040	CDS	852	cheR1_1	2.1.1.80		Chemotaxis protein methyltransferase 1
MNHNOIJP_00041	CDS	672	phoU		COG0704	Phosphate-specific transport system accessory protein PhoU 
MNHNOIJP_00042	CDS	1041				hypothetical protein
MNHNOIJP_00043	CDS	402				hypothetical protein
MNHNOIJP_00044	CDS	2448	smc_1			Chromosome partition protein Smc
MNHNOIJP_00045	CDS	546	rnhB_1	3.1.26.4	COG0164	Ribonuclease HII
MNHNOIJP_00046	CDS	369				hypothetical protein
MNHNOIJP_00047	tRNA	72				tRNA-Gly(tcc)
MNHNOIJP_00048	tmRNA	359	ssrA			transfer-messenger RNA, SsrA
MNHNOIJP_00049	CDS	675				queuosine precursor transporter
MNHNOIJP_00050	CDS	663				queuosine precursor transporter
MNHNOIJP_00051	CDS	657	trmH	2.1.1.34	COG0566	tRNA (guanosine(18)-2'-O)-methyltransferase
MNHNOIJP_00052	CDS	672	ung_1	3.2.2.27	COG0692	Uracil-DNA glycosylase
MNHNOIJP_00053	CDS	363				hypothetical protein
MNHNOIJP_00054	CDS	762	tpiA	5.3.1.1	COG0149	Triosephosphate isomerase
MNHNOIJP_00055	CDS	1182	pgk_1	2.7.2.3	COG0126	Phosphoglycerate kinase
MNHNOIJP_00056	CDS	1008	gap_1	1.2.1.12	COG0057	Glyceraldehyde-3-phosphate dehydrogenase
MNHNOIJP_00057	CDS	1971	lapB_1			Lipopolysaccharide assembly protein B
MNHNOIJP_00058	CDS	780	corC		COG4535	Magnesium and cobalt efflux protein CorC
MNHNOIJP_00059	CDS	468	ybeY_1	3.1.-.-		Endoribonuclease YbeY
MNHNOIJP_00060	CDS	354	resA_1			Thiol-disulfide oxidoreductase ResA
MNHNOIJP_00061	CDS	717				hypothetical protein
MNHNOIJP_00062	CDS	1008				hypothetical protein
MNHNOIJP_00063	CDS	939	fmt_1	2.1.2.9	COG0223	Methionyl-tRNA formyltransferase
MNHNOIJP_00064	CDS	498	def1	3.5.1.88	COG0242	Peptide deformylase 1
MNHNOIJP_00065	CDS	690				hypothetical protein
MNHNOIJP_00066	CDS	1740	pepQ	3.4.13.9		Xaa-Pro dipeptidase
MNHNOIJP_00067	CDS	882	yigL_1	3.1.3.74	COG0561	Pyridoxal phosphate phosphatase YigL
MNHNOIJP_00068	CDS	1239		3.4.11.-		Aminopeptidase 2
MNHNOIJP_00069	CDS	462				hypothetical protein
MNHNOIJP_00070	CDS	1473				hypothetical protein
MNHNOIJP_00071	CDS	2319	rsxC	7.-.-.-		Ion-translocating oxidoreductase complex subunit C
MNHNOIJP_00072	CDS	561				hypothetical protein
MNHNOIJP_00073	CDS	810	prfB_1		COG1186	Peptide chain release factor RF2
MNHNOIJP_00074	CDS	1410				hypothetical protein
MNHNOIJP_00075	CDS	846	ftsY_1		COG0552	Signal recognition particle receptor FtsY
MNHNOIJP_00076	CDS	1029				hypothetical protein
MNHNOIJP_00077	CDS	1254				hypothetical protein
MNHNOIJP_00078	CDS	681	lolD	3.6.3.-	COG1136	Lipoprotein-releasing system ATP-binding protein LolD
MNHNOIJP_00079	CDS	1251				hypothetical protein
MNHNOIJP_00080	CDS	1296				hypothetical protein
MNHNOIJP_00081	CDS	351				hypothetical protein
MNHNOIJP_00082	CDS	1269	csd_1	2.8.1.7		putative cysteine desulfurase
MNHNOIJP_00083	CDS	426				hypothetical protein
MNHNOIJP_00084	CDS	1536	comM		COG0606	Competence protein ComM
MNHNOIJP_00085	CDS	951	ldh1	1.1.1.27		L-lactate dehydrogenase 1
MNHNOIJP_00086	CDS	1680	lepA_1	3.6.5.-		Elongation factor 4
MNHNOIJP_00087	CDS	975				hypothetical protein
MNHNOIJP_00088	CDS	435				hypothetical protein
MNHNOIJP_00089	CDS	1827				hypothetical protein
MNHNOIJP_00090	CDS	609	atpD_1			V-type ATP synthase subunit D
MNHNOIJP_00091	CDS	1305	ntpB			V-type sodium ATPase subunit B
MNHNOIJP_00092	CDS	1728	ntpA	7.2.2.1		V-type sodium ATPase catalytic subunit A
MNHNOIJP_00093	CDS	546				hypothetical protein
MNHNOIJP_00094	CDS	600	atpE			V-type proton ATPase subunit E
MNHNOIJP_00095	CDS	387				hypothetical protein
MNHNOIJP_00096	CDS	2343	mutS2	3.1.-.-		Endonuclease MutS2
MNHNOIJP_00097	CDS	924	rsgA_1	3.6.1.-		Small ribosomal subunit biogenesis GTPase RsgA
MNHNOIJP_00098	CDS	786	murI_1	5.1.1.3		Glutamate racemase
MNHNOIJP_00099	CDS	1389	asnS	6.1.1.22	COG0017	Asparagine--tRNA ligase
MNHNOIJP_00100	CDS	522				hypothetical protein
MNHNOIJP_00101	CDS	594				hypothetical protein
MNHNOIJP_00102	CDS	1425	degP	3.4.21.107	COG0265	Periplasmic serine endoprotease DegP
MNHNOIJP_00103	CDS	756	map_1	3.4.11.18	COG0024	Methionine aminopeptidase 1
MNHNOIJP_00104	CDS	1668	bepA_1	3.4.-.-		Beta-barrel assembly-enhancing protease
MNHNOIJP_00105	CDS	438	nusB_1			Transcription antitermination protein NusB
MNHNOIJP_00106	CDS	1011	prsA2	5.2.1.8	COG0760	Foldase protein PrsA 2
MNHNOIJP_00107	CDS	1197		2.3.1.9		putative acetyl-CoA acyltransferase
MNHNOIJP_00108	CDS	1365				hypothetical protein
MNHNOIJP_00109	CDS	1368	dnaB_1	3.6.4.12	COG0305	Replicative DNA helicase
MNHNOIJP_00110	CDS	522	rplI_1		COG0359	50S ribosomal protein L9
MNHNOIJP_00111	CDS	255				hypothetical protein
MNHNOIJP_00112	CDS	450	ssb_1		COG0629	Single-stranded DNA-binding protein
MNHNOIJP_00113	CDS	420				hypothetical protein
MNHNOIJP_00114	CDS	1695	ptsG_1	2.7.1.199		PTS system glucose-specific EIICBA component
MNHNOIJP_00115	CDS	702				hypothetical protein
MNHNOIJP_00116	CDS	1302		3.4.24.-	COG0750	Putative zinc metalloprotease
MNHNOIJP_00117	CDS	852				hypothetical protein
MNHNOIJP_00118	CDS	693	uppS_1	2.5.1.31		Ditrans,polycis-undecaprenyl-diphosphate synthase ((2E,6E)-farnesyl-diphosphate specific)
MNHNOIJP_00119	CDS	555	frr_1		COG0233	Ribosome-recycling factor
MNHNOIJP_00120	CDS	840	tsf_1		COG0264	Elongation factor Ts
MNHNOIJP_00121	CDS	783	rpsB		COG0052	30S ribosomal protein S2
MNHNOIJP_00122	CDS	279				hypothetical protein
MNHNOIJP_00123	CDS	723				hypothetical protein
MNHNOIJP_00124	CDS	612				hypothetical protein
MNHNOIJP_00125	CDS	1656	rpsA_1		COG0539	30S ribosomal protein S1
MNHNOIJP_00126	CDS	666	cmk_1	2.7.4.25	COG0283	Cytidylate kinase
MNHNOIJP_00127	CDS	750	rluB	5.4.99.22	COG1187	Ribosomal large subunit pseudouridine synthase B
MNHNOIJP_00128	CDS	768				hypothetical protein
MNHNOIJP_00129	CDS	1098	recA_1		COG0468	Protein RecA
MNHNOIJP_00130	CDS	2706	greA_1			Transcription elongation factor GreA
MNHNOIJP_00131	CDS	945				hypothetical protein
MNHNOIJP_00132	CDS	1128				hypothetical protein
MNHNOIJP_00133	CDS	1371	hisS_1	6.1.1.21	COG0124	Histidine--tRNA ligase
MNHNOIJP_00134	CDS	1890	spoVD		COG0768	Stage V sporulation protein D
MNHNOIJP_00135	CDS	1893		6.2.1.3	COG1022	Long-chain-fatty-acid--CoA ligase FadD15
MNHNOIJP_00136	CDS	342				hypothetical protein
MNHNOIJP_00137	CDS	3216	swrC		COG0841	Swarming motility protein SwrC
MNHNOIJP_00138	CDS	954	aaeA			p-hydroxybenzoic acid efflux pump subunit AaeA
MNHNOIJP_00139	CDS	1236				hypothetical protein
MNHNOIJP_00140	CDS	186				hypothetical protein
MNHNOIJP_00141	CDS	873				hypothetical protein
MNHNOIJP_00142	CDS	900	opuAB		COG4176	Glycine betaine transport system permease protein OpuAB
MNHNOIJP_00143	CDS	1119	btuD_1	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
MNHNOIJP_00144	CDS	1011	fla		COG1344	Flagellar filament 41 kDa core protein
MNHNOIJP_00145	CDS	1998				hypothetical protein
MNHNOIJP_00146	CDS	1206	nagA_1	3.5.1.25	COG1820	N-acetylglucosamine-6-phosphate deacetylase
MNHNOIJP_00147	CDS	807	nagB_1	3.5.99.6	COG0363	Glucosamine-6-phosphate deaminase
MNHNOIJP_00148	CDS	612	sodA_1	1.15.1.1	COG0605	Superoxide dismutase [Mn]
MNHNOIJP_00149	CDS	2700	secA		COG0653	Protein translocase subunit SecA
MNHNOIJP_00150	CDS	1137				hypothetical protein
MNHNOIJP_00151	CDS	435				hypothetical protein
MNHNOIJP_00152	CDS	417				hypothetical protein
MNHNOIJP_00153	CDS	717				hypothetical protein
MNHNOIJP_00154	CDS	675				hypothetical protein
MNHNOIJP_00155	CDS	1119	alr1	5.1.1.1	COG0787	Alanine racemase 1
MNHNOIJP_00156	CDS	1602				hypothetical protein
MNHNOIJP_00157	CDS	168				hypothetical protein
MNHNOIJP_00158	CDS	1749				hypothetical protein
MNHNOIJP_00159	CDS	987	yrbG		COG0530	Inner membrane protein YrbG
MNHNOIJP_00160	CDS	1845				hypothetical protein
MNHNOIJP_00161	CDS	1521	malQ	2.4.1.25	COG1640	4-alpha-glucanotransferase
MNHNOIJP_00162	CDS	1170	pal			Peptidoglycan-associated lipoprotein
MNHNOIJP_00163	CDS	378	yocK		COG1734	General stress protein 16O
MNHNOIJP_00164	CDS	234	infA_1		COG0361	Translation initiation factor IF-1
MNHNOIJP_00165	CDS	2049				hypothetical protein
MNHNOIJP_00166	CDS	588				hypothetical protein
MNHNOIJP_00167	CDS	987				hypothetical protein
MNHNOIJP_00168	CDS	1002				hypothetical protein
MNHNOIJP_00169	CDS	906				hypothetical protein
MNHNOIJP_00170	CDS	876				hypothetical protein
MNHNOIJP_00171	CDS	993				hypothetical protein
MNHNOIJP_00172	CDS	627	rsmG_1	2.1.1.170	COG0357	Ribosomal RNA small subunit methyltransferase G
MNHNOIJP_00173	CDS	1866	mnmG			tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG
MNHNOIJP_00174	CDS	1395	mnmE	3.6.5.-	COG0486	tRNA modification GTPase MnmE
MNHNOIJP_00175	CDS	495				hypothetical protein
MNHNOIJP_00176	CDS	1884	flgK		COG1256	Flagellar hook-associated protein 1
MNHNOIJP_00177	CDS	1275				hypothetical protein
MNHNOIJP_00178	CDS	393	fliW		COG1699	Flagellar assembly factor FliW
MNHNOIJP_00179	CDS	246	csrA		COG1551	Translational regulator CsrA
MNHNOIJP_00180	CDS	654				hypothetical protein
MNHNOIJP_00181	CDS	414	tsaE_1		COG0802	tRNA threonylcarbamoyladenosine biosynthesis protein TsaE
MNHNOIJP_00182	CDS	261				hypothetical protein
MNHNOIJP_00183	CDS	348	rplT_1		COG0292	50S ribosomal protein L20
MNHNOIJP_00184	CDS	201	rpmI_1		COG0291	50S ribosomal protein L35
MNHNOIJP_00185	CDS	561	infC_1		COG0290	Translation initiation factor IF-3
MNHNOIJP_00186	CDS	654				hypothetical protein
MNHNOIJP_00187	CDS	741				hypothetical protein
MNHNOIJP_00188	CDS	810	dtd3	3.1.1.96		D-aminoacyl-tRNA deacylase
MNHNOIJP_00189	CDS	1140	bepA_2	3.4.-.-		Beta-barrel assembly-enhancing protease
MNHNOIJP_00190	CDS	1074	prfA_1		COG0216	Peptide chain release factor RF1
MNHNOIJP_00191	CDS	861	prmC_1	2.1.1.297		Release factor glutamine methyltransferase
MNHNOIJP_00192	CDS	2004	spoT		COG0317	Bifunctional (p)ppGpp synthase/hydrolase SpoT
MNHNOIJP_00193	CDS	2265				hypothetical protein
MNHNOIJP_00194	CDS	1086	ddl_1	6.3.2.4		D-alanine--D-alanine ligase
MNHNOIJP_00195	CDS	1527	murE_1	6.3.2.13	COG0769	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase
MNHNOIJP_00196	tRNA	76				tRNA-Cys(gca)
MNHNOIJP_00197	CDS	1239				hypothetical protein
MNHNOIJP_00198	CDS	936	hflK		COG0330	Modulator of FtsH protease HflK
MNHNOIJP_00199	CDS	972	hflC		COG0330	Modulator of FtsH protease HflC
MNHNOIJP_00200	tRNA	75				tRNA-Phe(gaa)
MNHNOIJP_00201	tRNA	75				tRNA-Phe(gaa)
MNHNOIJP_00202	CDS	1551				hypothetical protein
MNHNOIJP_00203	CDS	465				hypothetical protein
MNHNOIJP_00204	CDS	972	gtaB_1	2.7.7.9	COG1210	UTP--glucose-1-phosphate uridylyltransferase
MNHNOIJP_00205	CDS	1746				hypothetical protein
MNHNOIJP_00206	CDS	768				hypothetical protein
MNHNOIJP_00207	CDS	903	lapB_2			Lipopolysaccharide assembly protein B
MNHNOIJP_00208	CDS	1833	mutL			DNA mismatch repair protein MutL
MNHNOIJP_00209	CDS	1035				hypothetical protein
MNHNOIJP_00210	tRNA	74				tRNA-Met(cat)
MNHNOIJP_00211	CDS	654				hypothetical protein
MNHNOIJP_00212	CDS	579	efp_1		COG0231	Elongation factor P
MNHNOIJP_00213	CDS	840	pstS		COG0226	Phosphate-binding protein PstS
MNHNOIJP_00214	CDS	909	pstC		COG0573	Phosphate transport system permease protein PstC
MNHNOIJP_00215	CDS	1545				hypothetical protein
MNHNOIJP_00216	CDS	783	pstB3	7.3.2.1	COG1117	Phosphate import ATP-binding protein PstB 3
MNHNOIJP_00217	CDS	822	zupT		COG0428	Zinc transporter ZupT
MNHNOIJP_00218	CDS	1785				hypothetical protein
MNHNOIJP_00219	CDS	1218	fliG_1		COG1536	Flagellar motor switch protein FliG
MNHNOIJP_00220	CDS	708	nagB_2	3.5.99.6		Glucosamine-6-phosphate deaminase
MNHNOIJP_00221	CDS	354				hypothetical protein
MNHNOIJP_00222	CDS	285				hypothetical protein
MNHNOIJP_00223	CDS	975	dusA	1.3.1.-	COG0042	tRNA-dihydrouridine(20/20a) synthase
MNHNOIJP_00224	CDS	1278	serS_1	6.1.1.11	COG0172	Serine--tRNA ligase
MNHNOIJP_00225	CDS	702				hypothetical protein
MNHNOIJP_00226	CDS	2916				hypothetical protein
MNHNOIJP_00227	CDS	246	rpmE2_1		COG0254	50S ribosomal protein L31 type B
MNHNOIJP_00228	CDS	1548	rho_1	3.6.4.-	COG1158	Transcription termination factor Rho
MNHNOIJP_00229	CDS	408				hypothetical protein
MNHNOIJP_00230	CDS	327	hup		COG0776	DNA-binding protein HU
MNHNOIJP_00231	CDS	258	rpsT_1		COG0268	30S ribosomal protein S20
MNHNOIJP_00232	CDS	828				hypothetical protein
MNHNOIJP_00233	CDS	1107	ychF_1		COG0012	Ribosome-binding ATPase YchF
MNHNOIJP_00234	CDS	2007				hypothetical protein
MNHNOIJP_00235	CDS	1566	lnt	2.3.1.269		Apolipoprotein N-acyltransferase
MNHNOIJP_00236	CDS	771				hypothetical protein
MNHNOIJP_00237	CDS	603		2.7.1.113	COG1428	Deoxyguanosine kinase
MNHNOIJP_00238	CDS	765	glpF_1		COG0580	Glycerol uptake facilitator protein
MNHNOIJP_00239	CDS	1506	glpK_1	2.7.1.30		Glycerol kinase
MNHNOIJP_00240	CDS	279				hypothetical protein
MNHNOIJP_00241	CDS	1584	glpD	1.1.5.3	COG0578	Aerobic glycerol-3-phosphate dehydrogenase
MNHNOIJP_00242	CDS	495				hypothetical protein
MNHNOIJP_00243	CDS	555				hypothetical protein
MNHNOIJP_00244	CDS	1026				hypothetical protein
MNHNOIJP_00245	CDS	606		3.6.1.66		dITP/XTP pyrophosphatase
MNHNOIJP_00246	CDS	1773	pepF1	3.4.24.-		Oligoendopeptidase F, plasmid
MNHNOIJP_00247	CDS	705	pcs	2.7.8.24	COG1183	Phosphatidylcholine synthase
MNHNOIJP_00248	CDS	615			COG0586	Inner membrane protein
MNHNOIJP_00249	tRNA	87				tRNA-Leu(gag)
MNHNOIJP_00250	CDS	2523	leuS_1	6.1.1.4		Leucine--tRNA ligase
MNHNOIJP_00251	CDS	2304				hypothetical protein
MNHNOIJP_00252	CDS	2421	lon1_1	3.4.21.53	COG0466	Lon protease 1
MNHNOIJP_00253	CDS	2127				hypothetical protein
MNHNOIJP_00254	CDS	945				hypothetical protein
MNHNOIJP_00255	CDS	210				hypothetical protein
MNHNOIJP_00256	CDS	2364				hypothetical protein
MNHNOIJP_00257	CDS	801	uppP_1	3.6.1.27	COG1968	Undecaprenyl-diphosphatase
MNHNOIJP_00258	CDS	2193	mltC	4.2.2.-		Membrane-bound lytic murein transglycosylase C
MNHNOIJP_00259	CDS	1005				hypothetical protein
MNHNOIJP_00260	CDS	1383	lapB_3			Lipopolysaccharide assembly protein B
MNHNOIJP_00261	CDS	1254				hypothetical protein
MNHNOIJP_00262	CDS	393				hypothetical protein
MNHNOIJP_00263	CDS	1470	dnaK_1		COG0443	Chaperone protein DnaK
MNHNOIJP_00264	CDS	522				hypothetical protein
MNHNOIJP_00265	CDS	303				hypothetical protein
MNHNOIJP_00266	CDS	1905				hypothetical protein
MNHNOIJP_00267	CDS	480				hypothetical protein
MNHNOIJP_00268	CDS	888	ylxH		COG0455	Flagellum site-determining protein YlxH
MNHNOIJP_00269	CDS	1167	flhF		COG1419	Flagellar biosynthesis protein FlhF
MNHNOIJP_00270	CDS	2094	flhA		COG1298	Flagellar biosynthesis protein FlhA
MNHNOIJP_00271	CDS	1119	flhB		COG1377	Flagellar biosynthetic protein FlhB
MNHNOIJP_00272	CDS	789				hypothetical protein
MNHNOIJP_00273	CDS	264				hypothetical protein
MNHNOIJP_00274	CDS	765	fliP		COG1338	Flagellar biosynthetic protein FliP
MNHNOIJP_00275	CDS	627				hypothetical protein
MNHNOIJP_00276	CDS	342				hypothetical protein
MNHNOIJP_00277	CDS	1059	fliM		COG1868	Flagellar motor switch protein FliM
MNHNOIJP_00278	CDS	537				hypothetical protein
MNHNOIJP_00279	CDS	726	motB		COG1360	Motility protein B
MNHNOIJP_00280	CDS	783	pomA		COG1291	Chemotaxis protein PomA
MNHNOIJP_00281	CDS	225				hypothetical protein
MNHNOIJP_00282	CDS	1326	flgE		COG1749	Flagellar hook protein FlgE
MNHNOIJP_00283	CDS	444				hypothetical protein
MNHNOIJP_00284	CDS	1179				hypothetical protein
MNHNOIJP_00285	CDS	618				hypothetical protein
MNHNOIJP_00286	CDS	432				hypothetical protein
MNHNOIJP_00287	CDS	1311	fliI	7.1.2.2	COG1157	Flagellum-specific ATP synthase
MNHNOIJP_00288	CDS	921				hypothetical protein
MNHNOIJP_00289	CDS	1035	fliG_2		COG1536	Flagellar motor switch protein FliG
MNHNOIJP_00290	CDS	1710				hypothetical protein
MNHNOIJP_00291	CDS	336	fliE			Flagellar hook-basal body complex protein FliE
MNHNOIJP_00292	CDS	459	flgC		COG1558	Flagellar basal-body rod protein FlgC
MNHNOIJP_00293	CDS	408	flgB		COG1815	Flagellar basal body rod protein FlgB
MNHNOIJP_00294	CDS	1347	clpY		COG1220	ATP-dependent protease ATPase subunit ClpY
MNHNOIJP_00295	CDS	549	hslV	3.4.25.2	COG5405	ATP-dependent protease subunit HslV
MNHNOIJP_00296	CDS	948				hypothetical protein
MNHNOIJP_00297	CDS	693				hypothetical protein
MNHNOIJP_00298	CDS	1200	ftsZ		COG0206	Cell division protein FtsZ
MNHNOIJP_00299	CDS	1242	ftsA		COG0849	Cell division protein FtsA
MNHNOIJP_00300	CDS	744	divIB		COG1589	Cell division protein DivIB
MNHNOIJP_00301	CDS	1095	ftsW	2.4.1.129	COG0772	putative peptidoglycan glycosyltransferase FtsW
MNHNOIJP_00302	CDS	1056	mraY_1	2.7.8.13	COG0472	Phospho-N-acetylmuramoyl-pentapeptide-transferase
MNHNOIJP_00303	CDS	1392	murF_1	6.3.2.10	COG0770	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase
MNHNOIJP_00304	CDS	285				hypothetical protein
MNHNOIJP_00305	CDS	891	rsmH	2.1.1.199	COG0275	Ribosomal RNA small subunit methyltransferase H
MNHNOIJP_00306	CDS	837				hypothetical protein
MNHNOIJP_00307	CDS	1077				hypothetical protein
MNHNOIJP_00308	CDS	759				hypothetical protein
MNHNOIJP_00309	CDS	840	nadK	2.7.1.23		NAD kinase
MNHNOIJP_00310	CDS	531	cheW_1		COG0835	Chemotaxis protein CheW
MNHNOIJP_00311	CDS	579	rlmE	2.1.1.166	COG0293	Ribosomal RNA large subunit methyltransferase E
MNHNOIJP_00312	CDS	1044	sdsA	2.5.1.84		All-trans-nonaprenyl-diphosphate synthase (geranyl-diphosphate specific)
MNHNOIJP_00313	CDS	687				hypothetical protein
MNHNOIJP_00314	CDS	807				hypothetical protein
MNHNOIJP_00315	CDS	933				hypothetical protein
MNHNOIJP_00316	CDS	1461	mglA_1	7.5.2.11	COG1129	Galactose/methyl galactoside import ATP-binding protein MglA
MNHNOIJP_00317	CDS	1053	rfuA		COG1744	ABC transporter riboflavin-binding protein RfuA
MNHNOIJP_00318	CDS	1029				hypothetical protein
MNHNOIJP_00319	CDS	1137				hypothetical protein
MNHNOIJP_00320	CDS	360	bamD			Outer membrane protein assembly factor BamD
MNHNOIJP_00321	CDS	1110				hypothetical protein
MNHNOIJP_00322	CDS	2805				hypothetical protein
MNHNOIJP_00323	CDS	897				hypothetical protein
MNHNOIJP_00324	CDS	1572	oppA_1		COG4166	Periplasmic oligopeptide-binding protein
MNHNOIJP_00325	CDS	1587	oppA_2		COG4166	Periplasmic oligopeptide-binding protein
MNHNOIJP_00326	CDS	1626	oppA_3		COG4166	Periplasmic oligopeptide-binding protein
MNHNOIJP_00327	CDS	921	oppB		COG0601	Oligopeptide transport system permease protein OppB
MNHNOIJP_00328	CDS	1050				hypothetical protein
MNHNOIJP_00329	CDS	873	oppD_1		COG0444	Oligopeptide transport ATP-binding protein OppD
MNHNOIJP_00330	CDS	972	oppF_1		COG4608	Oligopeptide transport ATP-binding protein OppF
MNHNOIJP_00331	CDS	756				hypothetical protein
MNHNOIJP_00332	CDS	1302	eno_1	4.2.1.11		Enolase
MNHNOIJP_00333	CDS	411	rpsI		COG0103	30S ribosomal protein S9
MNHNOIJP_00334	CDS	441	rplM		COG0102	50S ribosomal protein L13
MNHNOIJP_00335	CDS	810				hypothetical protein
MNHNOIJP_00336	CDS	1458	gatB_1	6.3.5.-	COG0064	Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B
MNHNOIJP_00337	CDS	1491	gatA	6.3.5.7	COG0154	Glutamyl-tRNA(Gln) amidotransferase subunit A
MNHNOIJP_00338	CDS	276	GATC	6.3.5.-		Glutamyl-tRNA(Gln) amidotransferase subunit C, chloroplastic/mitochondrial
MNHNOIJP_00339	CDS	2097	pcrA_1	3.6.4.12		ATP-dependent DNA helicase PcrA
MNHNOIJP_00340	CDS	1200				hypothetical protein
MNHNOIJP_00341	CDS	336				hypothetical protein
MNHNOIJP_00342	CDS	1419				hypothetical protein
MNHNOIJP_00343	CDS	1434	pyk_1	2.7.1.40		Pyruvate kinase
MNHNOIJP_00344	CDS	741				hypothetical protein
MNHNOIJP_00345	CDS	279	rpmB_1		COG0227	50S ribosomal protein L28
MNHNOIJP_00346	CDS	1566				hypothetical protein
MNHNOIJP_00347	CDS	1122				hypothetical protein
MNHNOIJP_00348	CDS	1800				hypothetical protein
MNHNOIJP_00349	CDS	951				hypothetical protein
MNHNOIJP_00350	CDS	489	carD_1		COG1329	RNA polymerase-binding transcription factor CarD
MNHNOIJP_00351	CDS	594				hypothetical protein
MNHNOIJP_00352	CDS	732	rsmE	2.1.1.193	COG1385	Ribosomal RNA small subunit methyltransferase E
MNHNOIJP_00353	CDS	1428				hypothetical protein
MNHNOIJP_00354	CDS	243				hypothetical protein
MNHNOIJP_00355	CDS	1143				Iron-sulfur cluster carrier protein
MNHNOIJP_00356	CDS	987	lgt_1	2.5.1.145	COG0682	Phosphatidylglycerol--prolipoprotein diacylglyceryl transferase
MNHNOIJP_00357	CDS	2013	pdeA	3.1.4.52		Cyclic di-GMP phosphodiesterase PdeA
MNHNOIJP_00358	CDS	381	mgsA	4.2.3.3	COG1803	Methylglyoxal synthase
MNHNOIJP_00359	CDS	585				hypothetical protein
MNHNOIJP_00360	CDS	1377	apeA	3.4.11.-	COG1362	putative M18 family aminopeptidase 1
MNHNOIJP_00361	CDS	279				hypothetical protein
MNHNOIJP_00362	CDS	1059	gpsA	1.1.1.94		Glycerol-3-phosphate dehydrogenase [NAD(P)+]
MNHNOIJP_00363	CDS	2292				hypothetical protein
MNHNOIJP_00364	CDS	1218	tyrS	6.1.1.1		Tyrosine--tRNA ligase
